gene	logFC	logCPM	PValue	FDR
Tyro3	-1.51584456685562	6.02534059356371	5.52588222445386e-11	3.73983814833573e-09
Relb	1.20239993503076	5.58393635549477	5.72176495693623e-11	3.85275188597762e-09
Arid5a	1.17210972761613	5.50033237021584	6.16601651578074e-11	4.13091965059755e-09
Sema5a	-1.10247435522303	9.19907249963828	6.42351858063385e-11	4.28180773729186e-09
Carns1	-1.33651215643362	4.78309593793485	7.25988173506462e-11	4.81511656078161e-09
Pdk2	-1.02522314783262	6.7253920242771	8.26882496354707e-11	5.45701309161452e-09
H2-T23	1.16102062456557	7.86577739716409	8.42819222637233e-11	5.53465197439747e-09
Ada	1.75395603228599	4.47689513936498	8.49426495273297e-11	5.55056278807896e-09
St6galnac6	-1.07227280719475	6.85485318158174	9.20452337941195e-11	5.98519620724998e-09
Lrrtm2	2.77888348932478	0.752371752801177	1.01899069633721e-10	6.59361540825028e-09
Galc	-1.07978763394718	7.1589764648538	1.13729264477699e-10	7.32339171503244e-09
Dll4	-1.44353086570284	6.36268838913695	1.22016666546068e-10	7.81908735137003e-09
Wt1	-1.06372551346507	8.48820437896899	1.39196596288164e-10	8.87712908539659e-09
H2-K2	1.70085755488143	4.28170171501737	1.42550046433497e-10	9.04749457387722e-09
Mt1	1.87678829606548	5.4256715513221	1.49857256755178e-10	9.46598338503542e-09
Pamr1	1.43059470011536	4.21703455223672	1.54976699188536e-10	9.74296642054942e-09
Dach1	-1.23923871568139	7.43944751582392	1.57985417379403e-10	9.88526679970652e-09
Bcl2l1	1.49818058207053	8.18121698643484	1.82938976705649e-10	1.13928897934293e-08
Dglucy	1.72503800418646	4.73232621438942	2.16861582344858e-10	1.34423779897409e-08
Gm11127	1.62304976832125	5.05645822960761	2.30255290319814e-10	1.42062159353131e-08
Serpinb6b	1.116083693869	6.46637574125017	2.3166738732718e-10	1.42271661708104e-08
Gbx1	-2.42934625694562	2.1257600735196	2.65732139664753e-10	1.62439485375712e-08
Gm266	-1.83877409556175	4.73602502958811	2.74352162808753e-10	1.66939515580647e-08
Tgtp2	2.11995873141077	5.41832555412423	2.76097276213756e-10	1.67234263423538e-08
Ifi202b	1.75374671333655	3.27756638836061	2.9392114689908e-10	1.77221091528014e-08
Lrg1	2.62748313706478	3.44739922460603	3.04504518879831e-10	1.82771603752985e-08
Cldn5	-1.64064461828399	7.79303968260036	3.26405800315418e-10	1.95034817170451e-08
Cd209a	-4.0267970514292	-0.0555538621786352	3.51863379424179e-10	2.08923407290851e-08
Anxa1	1.12176031437333	8.6613749511841	3.52799421282704e-10	2.08923407290851e-08
Capg	1.42864432390556	5.00972415519165	3.65723326886301e-10	2.15614219162079e-08
Rrm1	1.06290981477067	5.80033998347019	3.68488705190756e-10	2.16283304175017e-08
Ppp1r13l	1.78401127239879	4.06158767119627	3.70417982311452e-10	2.16457909046758e-08
